subject_ids,classifications,workflow_id,workflow_version,file-name,advance,flag
13289077,5,427,6.20,,advance,1
13289078,5,427,6.20,,advance,1
13289079,5,427,6.20,,advance,1
13289080,5,427,6.20,,advance,1
13289081,5,427,6.20,,advance,1
13289082,5,427,6.20,,advance,1
13289083,5,427,6.20,,advance,1
13289084,5,427,6.20,,advance,1
13289085,5,427,6.20,,advance,1
13289086,5,427,6.20,,advance,1
13289087,6,427,6.20,,advance,1
13289088,5,427,6.20,,advance,1
13289089,5,427,6.20,,advance,1
13289090,5,427,6.20,,advance,1
13289091,5,427,6.20,,advance,1
13289092,5,427,6.20,,retire,0
13289093,5,427,6.20,,retire,0
13289094,5,427,6.20,,advance,1
13289095,5,427,6.20,,advance,1
13289096,5,427,6.20,,advance,1
13289097,5,427,6.20,,advance,1
13289098,5,427,6.20,,advance,1
13289099,5,427,6.20,,advance,1
13289100,5,427,6.20,,advance,1
13289101,5,427,6.20,,advance,1
13289102,5,427,6.20,,advance,1
13289103,5,427,6.20,,advance,1
13289104,5,427,6.20,,advance,1
13289105,5,427,6.20,,advance,1
13289106,5,427,6.20,,advance,1
13289107,5,427,6.20,,advance,1
13289108,5,427,6.20,,advance,1
13289109,5,427,6.20,,advance,1
13289110,5,427,6.20,,advance,1
13289111,5,427,6.20,,advance,1
13289112,5,427,6.20,,advance,1
13289113,5,427,6.20,,advance,1
13289114,5,427,6.20,,advance,1
13289115,5,427,6.20,,advance,1
13289116,5,427,6.20,,advance,1
13289117,5,427,6.20,,advance,1
13289118,5,427,6.20,,advance,1
13289119,5,427,6.20,,advance,1
13289120,5,427,6.20,,advance,1
13289121,5,427,6.20,,advance,1
13289122,5,427,6.20,,advance,1
13289123,5,427,6.20,,advance,1
13289124,5,427,6.20,,advance,1
13289125,5,427,6.20,,advance,1
13289126,5,427,6.20,,advance,1
13289127,5,427,6.20,,advance,1
13289128,5,427,6.20,,advance,1
13289129,5,427,6.20,,advance,1
13289130,5,427,6.20,,advance,1
13289131,5,427,6.20,,advance,1
13289132,5,427,6.20,,advance,1
13289133,5,427,6.20,,advance,1
13289134,5,427,6.20,,retire,0
13289135,5,427,6.20,,advance,1
13289136,5,427,6.20,,advance,1
13289137,5,427,6.20,,advance,1
13289138,5,427,6.20,,advance,1
13289139,5,427,6.20,,advance,1
13289140,5,427,6.20,,advance,1
13289141,5,427,6.20,,advance,1
13289142,5,427,6.20,,advance,1
